id,kategori,soru,reference_cevap,model_cevabi
34,uroloji,"Hocam ben 25 yaşındayım, bekarım, 4 yıl önce bilateral varikosel ameliyatı oldum. Ameiyat öncesi spermde morfolajisi %3 iken ameliyattan 6 ay sonra %47,5 e yükseldi. Geçen hafta kontrole gittiğimde ise dopper sonucunda: solda en geniş ven çapı 4ml, sağda 2ml olarak ölçülmüş olup solda reflü mevcuttur. Doktor varikoselin tekrarladığını söyledi. - Spermiogram sonuçları ise: Hacim: 2CC, Görünüm: Normal, Viskosite Normal, Likefaksiyon Süresi: 30dk, Abstinans süresi 4 gün, - Morfoloji Normal: %5, Baş anomalisi: %78, Boyun anomalisi: %3, Kuyruk anomalisi: %19, - Yıkama öncesi Sperm konsantrasyonu: 65, prograsif motilite :%57, nonprografis motilite:%10, immotilite: %33, Aglütinasyon: Yok. - Yıkama Sonrası: Sperm konsantrasyonu: 37, prograsif motilite :%90, nonprografis motilite:%0, immotilite: %10, TPMSS: 67 - Sonuçlarımın nasıl olduğu ve tekrar ameliyatın gerekli olup olmadığı konusunda tavsiyeleriniz için şimdiden teşekkür ederim.",Merhaba. Spermiyogram tetkikiniz normal. Bundan dolayi ameliyat gereksiz,Merhabalar; Varikosele bağlı sperm kalp kapaklarında vasküler daralma ile ilgili bir durumdur. Bu nedenle ameliyat önerilir. Ancak bu ameliyatın riskleri de vardır. Ameliyat sonrası sperm kalp kapaklarında vasküler daralma ve sperm kalp kapaklarında vasküler daralma ile ilgili bir durumdur. Bu nedenle ameliyat önerilir. Ancak bu ameliyatın riskleri de vardır.
35,beyin-ve-sinir-cerrahisi,iyi günler doktor bey benim sorum şu 1 veya 2 sene kadar oldu sanırım doktora gittim bel fıtığı var dedi ozamandan bu tarafa bir daha gitmedim ve ağrılarım devam ediyor bilhassa yataktan kalktığım zaman ve ellerimde ve ayaklarımda uyuşma hissi var yürürken sanki ayaklarım yere basmıyor.ve çok korkuyorum felç olmuş gibi hissediyorum ve beni bu konuda bilgilendirireniz sevinirim.baş dönmesi hissi var ve ben bu durumdan çok korkuyorum beni bilgilendirireniz sevinirim çok teşekkür ediyorum sevgiler ve saygılar cevabınızı bekliyorum,geçmiş olsun mutlaka yeni bir mrg çekip muayene ile birlikte değerlendirmek gerekir,Bir fizik tedavi uzmanına muayene olmanızda fayda var.
36,beyin-ve-sinir-cerrahisi,"iyi günler hocam. Benim sorum annemle ilgili olacak. Annem şeker hastası,115 kilo ve koroner kalp damarında da daralma var. .Çekilen MRlarında Bel ve boynunda beşer tane fıtık ve omurgada daralma tespit edildi. Kol ve bacaklaırnda güçsüzlük, gece uyandıran ağrı ve uyuşmaları var. Ayrıca idrar kaçırma gibi şikayetleri de oluyor. Bu durumda ameliyat öneriyorlar. Benim sorum ameliyat olmadan bu ağrı ve uyuşmalar enjeksiyon vb. yöntemlerle giderilmesi mümkün müdür? faydası olur mu? tavsiye edermisiniz? yardımcı olursanız çok sevinirim. İyi çalışmalar.","Annenize antaljik trak ve kyroprakti tedavisi uygulayabiliriz. Fakat önemli olan muayene bulguları. Tedavisine karar vermek için annenizi görmemde yarar var. Pazartesi, Çarşamba, Cuma 10-18 saatleri arasında Beşiktaş Fulya’daki muayenehanemde (Hakkı Yeten cad 13 Fulya Terrace Kat M3 Fulya - Şişli) hasta bakıyorum. İlk fırsatta bekliyorum. Dr Aybars AKKOR *** *** **/ *** *** ** / *** *** ** www.aybarsakkor.com","Merhaba, öncelikle geçmiş olsun. Öncelikle size ilaç tedavisi ile tedavi etmeye çalışacağız. Eğer rahatlamazsa ameliyat kararı verilecek. Saygılarımla"
37,beyin-ve-sinir-cerrahisi,"Bel ağrısı için gittiğim muayene sonucu tomografi çektirdim ..SONUÇ:L5-S1 diskinde vakum fenomeni,minimal bulging,aterior epidural yağlı planda daralma..olarak belirtilmiş..detaylı bilgi verirseniz sevinirim..teşekkürler..",MR raporunuza göre acil ameliyatlık bir durum yok. Öncelikle fizik tedavi görmenizde yarar var. Eğer rahatlamazsanız bana gelebilirsiniz. Dr Aybars AKKOR 0-212- *** *** **,"Merhaba, Lomber lordozda düzleşme mevcuttur. L4-5 düzeyinde diskte dejenerasyona bağlı sinyal kaybı mevcut olup, bu düzeyde spinal kord ve nöral foramenler açıktır. L5-S1 düzeyinde diskte dejenerasyon mevcut olup, bu düzeyde spinal kord ve nöral foramenler açıktır. Bu durumda ameliyat gerektirecek bir durum yoktur."
38,ortopedi-ve-travmatoloji,"merhaba hocam,ben malatya da tıp fakültesinde okuyorum samsunda ikamet ediyorum. malatya da 3 hafta önce ACL ameliyatı oldum Hermstring kasımdan tendon alınarak. Malatya daki hocam bana koltuk değneğini 3 hafta sonra bırakıp yürüyebirisin demişti fakat ben yine de vakti gelince kendisine ulaşmaya çalşıtım ulaşamadım. dizimde hafif şişlik var dikiş yaraları kapandı ve sürekli egzersizlerimi yapıyorum. koltuk değneği kullanmayı bırakmamda sakınca olur mu? 5 gün sonra köye gitmek istiyorum bayram: yani 26 gün sonrası için soruyorum. yardımcı olursanız çok sevinirim.","Normalde ameliyattan hemen sonra fizik tedavi başlanarak 3. hafta yük vermeye başlanabilir. Ancak yapılan ek işlemler (menisküs, kıkırdak vs.)'e ve cerrahın tercihine göre bu sürelerde değişiklikler olabilir.","Merhaba, öncelikle geçmiş olsun. Koltuk değneği ile ilgili bilgi veren doktorunuzdan daha iyi bilgi alabilirsiniz."
39,genel-cerrahi,İyi gunler makatta 1 haftadir surekli yanma var bazen hafifliyor genel cereha muhane oldum catlak ve basur var dedi makatta catlak devamli yanma yaparmi 3 tane krem verdi. 5 gun oldu biraz hafifledi ama kanamam yok gibi ara sira tuvalet kagitina bir kac damla geldi ama bende 5 gundur makattan belime dogru yanma devam ediyor tekrar muhane olmalimiyim tesekkurler,Çatlak varsa 5 günde tamamen düzelmesini beklemeyiz. Dolayısıyla yanmalarınız da devam eder. Ben 1 ay tedaviden sonra değerlendirme yapıyorum. Hekiminiz başka türlü öneride bulunmadıysa siz de tedavinizi bir aya tamamlayınız.,Makatta kanama olmaması için ilaç kullanmanızı öneririm.
40,uroloji,merhaba hocam benin sorunum çocuk sahibi olamamak ben yaklaşık 3 yıllık evliyim ama çocuk sahibi olamadım doktora gittim sperm sayısının çok düşük olduğunu ve hareketliliğin çok az olduğunu söyledi ve varikosel ameliyatı oldum çift taraflı bana evicap e vitamini hap verdi bunu 3 ay boyunca kulan mamı söyledi 3 ay sonunda sperm testi yaptırdım sayılarda artış olduğunu ve 3 ay daha kulanma mı önerdi bana allah rızası için yardım ederseniz sizin duacınız olurum şimdiden teşekkürler,Sperm sayılarınız ameliyat sonrası düzeldi ise bir süre daha beklemek uygun olabilir. Size önerilen tedavinin bir zararı olmamakla birlikte ne kadar faydalı olduğu tartışmalıdır. Kullanmanızda bir sakınca yoktur. Operasyon sonrası 1. yıldan sonra hala çocuk sahibi olamadı iseniz yardımcı üreme teknikleri (aşılama vb.) denenebilir.,Bir süre sonra tekrar test yaptırın.
41,uroloji,Merhaba Hocam testislerde çok ağrı oluyor ultrason çekildi sağda grade 2- 3 solda 3-4 varikosel ve bilateral testiküler mikrolitiyazis çıktı çok aşırı ağrım oluyor hocam sperm de çok az bazen gelmiyor ne yapmam gerekiyor tşkler,Spermiyogram yaptırıp bir üroloji uzmanı ile görüşün. Varikosel ameliyatı gerekebilir.,"Merhaba, Sizdeki durumunuz testislerinize zarar veriyorsa ameliyat gerekir. Ancak bu duruma göre ameliyat için muayene edilmeniz ve tetkiklerinizle değerlendirilmeniz gerekir. Geçmiş olsun."
42,kulak-burun-bogaz-hastaliklari,slmlar..dilimin dibinde et gibi bi şey hissediyodum..dr gittim dil bademciği dedi..bazı kişilerde olabilir dedi..lakin hafif b iboğaz enfeksyonunda boğazımda yumruk gibi hissediyorum..ve rahatsız etmekte.bunun tedavisi varmı.tşkler,Tabiiki var.Geçmiş olsun,Dilediğiniz zaman gelin bakalım.
43,ortopedi-ve-travmatoloji,"12 yıl önce beyin tümörü, 6 yıl öncede beyin sapı tümörü nedeniyle ameliyat oldum. Yürüyemiyorum. Son 2 senedir sol omuzum ileriye doğru geliyor. Düz oturduğum halde sanki yan oturmuş gibi görünüyorum. Neden kaynaklanıyor olabilir. Çaresi nedir.",Tamamen yaşadığınız beyin tümörü ile ilgili.,"Beyindeki tümörün büyümesi ile birlikte, kafaya takılan bir şey varsa, bu duruma bağlı olarak, omuzunuzda ağrılar olabilir. Muayene edilmeniz gerekecek."
44,fiziksel-tip-ve-rehabilitasyon,"merhablar hocam benim size sorum olucak .belim için mr çekildim sonucu şu sekilde geldi Lomber ve Lordoz düzleşmiştir. L1-2 , L2-3 , L3-4 , L4-5 , L5-S1 disklerinde minimal diffüz annüler taşma izlenmektedir.Nöral foramenler açıktır.sinir kök basısı saptanmadı. postkontrast incelemede spinal kanalda patolojik kontrast tutulumu saptanmadı. L5-S1 intervertebral disklerde dejenerasyona sekonder T2 ağırlıklı serilerde sinyal intensite kaybı ve nükleer kleftlerde belirginleşme izlenmektedir. iki doktor a sonucumu gösterdim .bi doktor bel fıtığı olmadığını söyledi .diğer doktor ise bi kaç tane bel fıtıgı ve bel düzleşmesi olduğunu söyledi .çok çelişkide kaldım bel fıtığım varmı ,yeni başlangıcı mı .ne yapmam gerekir hocam yorumlarmısınız","Esma Hanım, MR raporuna göre bel fıtığınız yok. Fakat bel incinmesi-zorlanması bulguları mevcut. Muayene bulgularınız gerektiriyorsa, tedavi edilebilir bir durumdur. Şunları incelemeniz faydalı olabilir: http://www.erenkoyfiziktedavi.com/Bel_Zorlanmasi_Ve_Incinmesi-detaylar-6.aspx http://www.erenkoyfiziktedavi.com/Bel__ve__Boyun__Restorasyonu-detaylar-40.aspx","Merhaba, öncelikle geçmiş olsun. Bel fıtıklarında da bel düzleşmesi olabilir. Ancak bu duruma göre tedavi edilebilir. Eğer bel fıtığı yoksa, bel düzleşmesi de ameliyatla düzeltilir."
45,kalp-damar-cerrahisi,hocam merhabalar. size bir sorum olacak. babam damar ameliyatı oldu. 2 kollarından ve 1 gögüs üzerinden alınmak üzere 3 damar değiştirildi. ancak yoğun bakımdan çıktıktan 1 gün sonra yüzü aşırı derecede şişti. buna deri altı şişliği dediler. bu neden kaynaklanmış olabilir? değerli bilgileriniz için şimdiden teşekkür eder saygılar sunarım.,Sayın Yüksel Öncelikle geçmiş olsun. Kusura bakmayın yoğunluktan sorunuza geç cevap verebiliyorum. Babanızın şikayeti hala devam ediyor mu? Başka bulguları gelişti mi? Cevabınıza göre daha ayrıntılı cevap verebilirim. Sağlıcakla,Bir hastalığa bağlı olarak oluşabilecek bir durumdur. Bir doktor tarafından değerlendirilmesi gerekir.
46,uroloji,Merhaba hocam 16 yasinyayim penisimde yukari dogru killar var ne yapmaliyim ucuna kadar cikarmi lutfen yardim edin ..,"Genç Arkadaşım Merhaba. Tamamen sünnet tekniği ile ilgili. Penis dip kısmında kıllanma olması doğal, yukarı ilerlemez. İlerlese dahi lazer epilsdyon ile sorun çözülür. Endişe etmeye gerek yok. İyi çalışmalar.",Bir üroloji uzmanına muayene olmanız gerekir.
47,beyin-ve-sinir-cerrahisi,yaklaşık 3 ay önce baş ağrısı nedeniyle acişle gittim ve tansiyonun 200/100 dü o güne kadar hiç tansiyon şikayetim yoktu.şimdi tansiyon ilacı kullanıyorum.tansiyon hastası olduğmu öğrendikten yaklaşık 15 gün içinde görmemde bulanıklık ferkettim.bir yere dikkatli bakktığımda en fazlan 2 saniye sonra bulanık görmeye başlıyorum.göz doktoruna gittim ama gözlerimde sorun olmadığını söyledi.ensemin alt kısmında ağrı var kolarıma vuruyor bulaşık yıkarken zorlanyorm.bazen algılama sorunuda yaşıyorm.ltfn,İlk fırsatta bir nöroloji uzmanına başvurun.,Beyin cerrahisi uzmanına başvurmanızı öneririm.
48,genel-cerrahi,"Merhaba, bebeğim şu anda 17 aylık. 4 ayına kadar her iki mememi emzirdim. 4. aydan sonra sadece sağ mememi emiyor. Sol mememde İki göğsümün arasına gelen tarafta takribi olarak 15 günden beri ağrı oluştu. Elimle kontrol ederken fındık büyüklüğün de bir beze geliyor ve mememe bastırınca canım acıyor. bebeğimi kucağıma alırken de canım yanıyor. Süt düğümlenmesi olabilir mi? Ya da kanser belirtisi mi? Önerilerinizi acilen bekliyorum. Teşekkür ederim.",Süt düğümlenmesinde kasdınız nedir bilemedim. Ama bu dönemde en sık gördüğümüz iltihaplanmadır. Yaşınızı dikkate aldığımda yağ bezi (fibroadenom) da olabilir. Bir genel cerraha muayene olmanız olayı açıklığa kavuşturur.,Bir üroloji uzmanına başvurun.
49,genel-cerrahi,tiroid sol lob üst polde 13*9mm boyutunda . sağ lob inferorda 7 mm boyutunda izoekoik heterojen solid nodüler lezyonlar izlenmektedir diğer yapılar normal gözükmekte olup acaba risk ne grup da ameliyat olma riski var mı hocam büyüme durumu nedir ne yapabiliriz bu konuda yardımcı olursanız sevinirim hocam,6 ay arayıla ızlenmelısınız nodul 1 cm yi geçerse ameliyat gerekebilir,Tiroid kisti (kistik tiroid) tedavisi gerekmez. Ameliyata deilere bağlı olarak tedavi edilebilir.
50,fiziksel-tip-ve-rehabilitasyon,"İiyi Günler Doktor bey benim sorunum dizimle ilgili mr raporunda yazan 2cm çapında baker kisti saplandı medial menisküs posterior boynuzda grade I dejenerasyon lehine intrasubstane sinyal artışı izlendi lateral menisküsün morfoloji ve sinyal intensite dağılımı doğal izlenmiş olup patolojik sinyal intensite değişikliği saptanmamıştır,filimlerdede dizde kireçlenme olduğu görülüyor rapora yansıtılmamış şiddetli ağrı oluyor bir takım egzersiz verdiler ama ağrılarım dinmiyor. saygılarımla cevabınız için şimdiden teşekkürlerimi sunarım....","MR raporu ve röntgende kireçlenme bulguları var, ama 27 yaşında bunun olması çok normal değil. Acaba yorumlarda bir abartı mı var. Değilse, nede bu yaşta böyle. Detaylı bir inceleme gerekli. Ağrının sebebini de ayrıca araştırmak gerekiyor.",Bir fizik tedavi uzmanına muayene olmanızı öneririm.
51,fiziksel-tip-ve-rehabilitasyon,merhaba hocam saygılarımla..ben iş makinası oparatoruyum yazın kolumuzu iş yogunlugundan dolayı hep aynı hareketlerle kolumu çok aşırı yoruyoruz bundan olabilirmi? 1-2 ay içinde agrılar belırmeye başladı hastaneye gittim.MR cekindim ve sonuc ''''akromıon tip 3 çıktı.ve 1:(supraspinatus tendonu kalın ve sinyallidir.(tendinozis) 2:(subkorakoid bursada ve subakromial-subdeltoid bursada minmal efuzyon mevzuttur).'''bu şekilde verildi ne yapmam gerekiyor? şimdiden çok teşekkur ederim.2 ay oldu ağrılar aar ara devam ediyor.,"Merhabalar; Omzunuzda sıkışma ve zorlanma sendromu bulguları mevcut. İlaç tedavisinin yanında, fizik tedavi, egzersiz ve omza iğne tedavisi gerekir. Sonrasında da kineziotape uygulaması öneririm. Yaklaşık 3-6 aylık bir tedaviye rağmen şikayetleriniz geçmezse ameliyat gerekebilir. Geçmiş olsun.",Merhabalar; Öncelikle geçmiş olsun. Kolumunuzda yırtık varmış. Bu duruma göre ameliyat önerilir. Ameliyattan sonra da kolumunuzun yanındaki şişlik ve ağrılar geçecektir.
52,beyin-ve-sinir-cerrahisi,merhaba hocam ben annem için bir soru sormak istiyorum size annemde omirilikte damar daralması var omirilik kemiği L şeklinde dir doktorlar ameliyat olması gerektiğini söylediler bu ameliyatların risk oranı nedir ameliyat olursa eski sağlıgına dönebilir mi masada kalma ihtimali var diyorlar annem için çok endişeleniyoruz.cevabınız için şimdiden teşekkür ederim,"Benim yaptığım ameliyatta sakat kalma felç olma riski yok, yaklaşık 1 saat sürüyor, cilt dikişiniz olmuyor, oniki saat sonra ayağa kalkabiliyorsunuz. Ameliyatın ertesi günü eve dönebilirsiniz. Bel kaymasında bele titanyum vidalar yerleştiriyoruz. Halk arasında &#8220;vida&#8221; veya &#8220;platin&#8221; ameliyatları olarak bilinen bu ameliyatlar çok riskli ameliyatlar. Biz hastaya sakat kalma felç olma riski yok diye garanti verebilmek için özel bir teknoloji kullanıyoruz, böylece ameliyatlarda bir sorun çıkmıyor. Karar vermek için annenizi görmemde yarar var. Pazartesi, Salı ve Perşembe 10-18 arası Nişantaşı&#8217;nda muayenehanemde (Teşvikiye cad.17/Kat1 İkbal İş Merkezi-Teşvikiye Camii karşısı &#8211; Nişantaşı - İstanbul) hasta bakıyorum. SGK ameliyatlarda büyük indirim sağlıyor. Sizi görmeden ücret belirtmek çok zor, ama elimden gelen yardımı yaparım, merak etmeyin. İlk fırsatta bekliyorum. Dr Aybars AKKOR *** *** ** *** *** ** / *** *** ** Not: Daha ayrıntılı bilgi istiyorsanız *** *** **&#39;den Onur Hanımı (LİSTEZİS koduyla) arayabilirsiniz.","Merhaba, Annenizdeki durumun tedavisi için ameliyat olabilir. Ameliyattan sonra da sağlığının tekrarlanacağına dair bilgiye ulaşmak için hastanızı muayene etmem gerekecek."
53,genel-cerrahi,"ben 41 yasında bayanım hocam boyun usg sonucu her iki parotıs normal lezyon saptanmadı. her iki submandibuler boyut ve parankim doğal. troid glandı sag lobu 16*15*41mm sollobu 14*15*41istmus 3,5mm. parankimi minimal heterojen olup sağ lobda 1-2 adet kalsifikasyon mevcuttur.belirgin sınır veren kistik veya solid kitle izlenmedi... sag level 2de kısa aksı 1cm gecmeyen bırkac adet lenf nodu mevcuttur. sol submandibuler lojda yaglı hılusu kısmen seçilebilen 13*7 bırkac adet lenf nodu izlendi hocam kan sayımında hormonlarda sıkıntı çıkmadı 4 yıldır nodulumun oldugunu biliyorum buyume göstermiyo fakat en son gittiğimde kalsifiye beni korkuttu suan antibiyorik kullanıyorum hocam yorumunuzu ve tavsiyenizi bekliyorum",Korkulacak bir şey yok. Ama bir genel cerrah tarafından değerlendirilirse iyi olur. Geçmiş olsun.,Bu USG raporunda kalsifikasyonlar var. Bu durumda ilaç tedavisi ile düzelme olmazsa ameliyat gerekebilir.
54,beyin-ve-sinir-cerrahisi,başımda bi beze oluştu dokunduğumda ağrıdığını hissediyorum yağ bezesi olabilceğini düşünüyorum size danışmak istedim,görmeden birşey söylenmez,Bir kardiyakoloji uzmanına başvurun.
55,ortopedi-ve-travmatoloji,merhaba hocam; annem 38 yaşında ve sağ bacağındaki ağrıdan şikayetçi 4-5 sene önce diz kapağında başladı diz kapağını kıramıyodu şimdi bazen bacağında bazen baldırında bazen topuğunda bazen parmak uçlarında iğne gibi bişeler batıyor.Şikayeti ne olabilir yardım ederseniz çok sevinirim şimdiden teşekkürler,Merhaba gecmis olsun. Lomber disk hernisi acisindan degerlendirmek gereir. Size onerim mutlaka ortopedi uzamnina basvurmaniz gerekir. Tesekkur ettim..,Bir fizik tedavi uzmanına muayene olmanızı öneririm.
56,beyin-ve-sinir-cerrahisi,sayın hocam benım problemım yaklaşık 4-5 aydır devam eden kollarımdaki ağrıdır. ağrı hareket halinde olduğu gibi hareketsiz de yaşanıyor. özellikle koların omuza doğru olan bölümleri agırmaktadır. konu ile ilgili aktarımlarınızı rica ederim. saygılarımla...,"İlk fırsatta boyun MR'ı ve &#8220;her iki kol EMG&#8221; çektirin, sonuçları bana yollayın veya bizzat getirin, sonra ayrıntıları görüşelim. Dr Aybars AKKOR 0-212- *** *** ** Faks:*** *** **","Kol ağrısı, kuru iğne tedavisi ile düzelir."
57,genel-cerrahi,Makat kısmının arka kısmında mercimek tanesi kadar şişlik ve ara ara sol tarafta hafif şişlik var. 2 haftadir bu şekildeyim ağrım sızım tuvalete çıkmada hiçbir sıkıntım yok sebebi nedir ne yapmam lazım,İçinde pıhtı oluşumu gelişmiş bir hemoroid olabilir veya kıl dönmesi.muayene etmeden birşey söylemek doğru olmaz geçmi olsun,"Merhabalar; Makatta şişlik ve ağrı olursa, makata yakın bölgede kireçlenme veya kıl dönmesi olabilir. Bu durumda, doktorunuz muayene ettiğinde, tedavi planlanır."
58,beyin-ve-sinir-cerrahisi,hocam öncelikle iyi akşamlar dilerim hocam ben ağustos ayında boyun fıtıgı amelıyatı geçirdim açık ameliyat oldum.yaklasık 2.5ay boyunluk taktım omuriliğimde platin var onun kaynaması için taktırıdı doktorum öle söledi yani hocam daha sonra işden çıkardıalr beni 4 ay kadar raporluydum geçen günü de iş görüşmesine gittim hocam beni ameliyatlıyım dıye elediler hocam bu fıtık ameliyatı benım çalışmamda engel mi ayrıcada ben futbol ve fitness oynuyabilirmiyim gerekli açıklamayı yaparsanız cok sevinirim hocam saygılar...,nasıl bir ameliyat yapıldı bilmiyorm ama boyun fıtığı ameliyatıundan sonra normalde boyunluk gerekmez bir hafta sonra her işi yapabilirisiniz normal insanlardan farkınız kalmaz,"Merhaba, Fizik tedavi uzmanına başvurmanızı öneririm."
59,genel-cerrahi,Slm hocam annem kolon kanseri ameliyat oldu patoloji sonucunda KONJESYONE FİBROLİPOMATÖ doku ve MALİGN SİTOLOJİ tanısı konulmş acaba nedir bilgi verirmsnz,"Kolon kanseri için yazdığınız patoloji raporu uygun değil. ""Maling sitoloji"" demek habis hücreler anlamına gelir. Kanser için hiç açıklayı değildir. Diğer ifade kötü bir durumu göstermiyor. Asıl patolojiye henüz ulaşamamışsınız zannedersem.","Kolon kanserindeki fibrolipomatö doku, kendi kendine yeterli olan bir kitleye benzer bir durumdur. Bu durumda ameliyattan sonra tekrar kanısının olup olmadığına bakılır. Eğer tekrar kanıya yol açarsa, ameliyat edilir."
60,uroloji,"merhaba hocam babam 62 yaşında 3 yıl önce psa 8mg çıktı sonra antibiyotik kuklandı 3mg düştü şu anda psa ölçüldü 9mg çıktı hiç bişey kullanmadan 14 gün sonra başka hastanede ölçüm yapıldı6,75mg çıktı doktor biyopsi öneriyor sizin görüşünüz nedir hocam bilgilendirirseniz seviniriz. şu anda cipros 500mg kullanıyor",Hülya Hanım Merhaba. PSA sadece kanser varlığında yükselmez. Prostat enfeksiyonları da PSA değerini yükselten nedenler arasındadır. Antibiyotik kanseri tedavi etmeyeceği için tedavi sonrası PSA değerinin normal sınırlara gerilemesi yükselmenin enfeksiyonda. Kaynaklandığına işaret eder. Yeniden 6 haftalık bir antibiyotik tedavisi uygulanıp PSA y niden ölçülebilir. Eğer yine yüksek çıkar ise biyopsi yapılması uygun olur. İyi çalışmalar.,Bilgi vermek için sizi muayene etmem gerekir.
61,genel-cerrahi,"Merhaba dr bey annem bir haft önce göbek fıtığı amlyt oldu. fıtık büyüktü ve coumadin kullanıyor.her gün aynı saatte dreni boşaltıyoruz hep 250 ml,hiç azalma olmadı. Normalde iki gün önce 25ml e düşecek ve aldıracaksınız demişti dr bey. Fakat hiç azalmadı ayrıca bugün rengi açıldı derken koyu kan gelmeye başladı. Amlyatı gerçekleştiren hekimden yeterli cevap alamadım. Size danışmak istedim. Dren miktarının azalmaması renginin koyulaşmadı ne demektir? Bundan sonda nasıl bir yol izlemeliyiz? Coumadin ile ilgili midir, kesmemiz gerekir mi ? Kan gelmesi devam ederse ne yapmamız gerekir? Teşekkür ederim iyi çalışmalar diliyorum","Sayın Neslihan Hanım; Yapılan ameliyat, ameliyatta uygulanan yöntem ve ameliyatın boyutlarını bilmeden sorduğunuz sorulara cevap verebilmek mümkün değil. Ancak coumadin kullanımı kanama problemlerine yol açabilir, bu ilacı kullanma nedeniniz önemli. O yüzden doktorunuza danışmadan kesmenizi önermem. saygılarımla","Merhaba, Annenize yapılan tetkiklerin sonuçlarını bana göndermenizi öneririm."
62,genel-cerrahi,Kardeşimin karaciğerinde doğuştan olduğu düşünülen lekeler var.Ama son check-up da bu lekelerin büyüdüğü söylendi.Özellikle bir tanesi çok büyük olduğu için 1 yıllık takip sonrası ameliyat olması gerektiği söylendi.İlaç tedavisi de yokmuş.Bunların bir nevi kanser olduğu ama yapılan kanser testleri sonucu kötü huylu olmadıkları söylendi.Kanser sözünü duymak tabiiki çok canımızı sıktı.Konu ile ilgili yorumlarınızı alabilirmiyim? Şimdiden çok teşekkür ediyorum.,Verdiğiniz bilgilerde net bir teşhis olmadığı için yorum yapmam isabetli olmaz. Ama sanki bir hemanjiom teşhis edilmiş gibi anladım. Eğer öyle ise 10 cm'i geçip diğer organları sıkıştırmadıkça ameliyat etmeyiz.,Kardeşinizin hastalığının nedeni karaciğerdeki lekeyi bilmek lazım. Leke büyümesi kanser olabilir. Ancak kanser olmaması da mümkün. Bu durumda tedavi planlanır.
63,uroloji,8. Ayda Anti hiv antikor yalancı Negatiflik vrm ihtimali .?,Normal bir kişide negatif olma ihtimali yoktur. Sonucunuz temiz.,Evet
64,genel-cerrahi,40 yaşımdayım zaman zaman göbeğimde sarı kalıntılar oluyordu temizliyordum çok seyrek olarak geçen gün göbeğimde kurumuş kan gördüm çok panik oldum cevabınız için şimdiden teşekkür ederim,Panik olacak bir durum olduğunu sanmıyorum. Göbek deliğinin dar olduğu ve yeterince temizlenmediği durumlarda göbekte enfeksiyon olabilir. Göbek içinde birikenler bu enfeksiyona yol açar. Göbek deliğinizi düzenli temizleyiniz. Gerekirse bir doktordan yardım alınız.,Göbekteki kanlı kılıntılar genellikle kanlanma veya kanlı sıvıdan kaynaklanır. Bu durumlarda kanlanma sırasında kanlı sıvının göbekten kaçması ve kanlanmanın devam etmesi ile kanlı kılıntı oluşur. Kanlı sıvı kanlanmaya neden olabilir. Kanlı sıvının kanlanmadığı zaman da kanlı kılıntı oluşabilir. Kanlı sıvının kanlanmadığını düşünürken kanlı kılıntıların oluşmasını engelleyen ilaçlar kullanmak gerekir. Kanlı kılıntıların tamamen geçmesi için tedaviye ihtiyaç vardır.
65,kulak-burun-bogaz-hastaliklari,"Merhabalar hocam, 3 ay önce tükürükle birlikte ağzım dan kan gelmişti. Bugün aynı şekilde ağzımdan tükürükle birlikte iki üç defa kan geldi. Hocam öksürük, mide bulantısı, karın ağrım yok sadece geceleri boğazımda yanma ve gıcıklanmayla birlikte midemde yanma oluyor ayrıca 3 aya yakın dişim de ağrısız apse var. Hocam bu neden kaynaklanmaktadır? korkulacak bir şey var mı?","Öncelikle geçmiş olsun, az miktarda kan gelmesi özellikle tükürükle birlikte olunca çok önemli sayılmaz, diş erlerimizi kontrol edin, bazen de Burundan kaynak olabilir",Bir dahiliye hekimine muayene olmanızı öneririm.
66,genel-cerrahi,iyi günler hocam 9 yaşında kist hidatik ameliyatı oldum ve karaciğer sol lob segment 2 ve 3 yok.şimdi 23 yaşındayım sağlık problemim yok .askerden yedek subay adayı olarak muaf olurmuyum.,Bu konuda net karar verebilmek için ameliyat raporlarınız ile birlikte bir askeri hastaneye müracaat etmeniz gerekmektedir. Orada yapılacak tetkikler ve sizin raporlarınızın değerlendirilmesi sonucunda bu konudaki yönetmeliklerde incelenerek karar verilir.,"Merhaba, Askerlikten yedek subay olarak görev alabilirsiniz."
67,fiziksel-tip-ve-rehabilitasyon,"rapor bu c5-6 c6-7 diskleri santral protrüzyon göstermekte olup anterior epidural mesafede silinme mevcuttur.Servikal vertebra korpus yükseklikleri ve nöral arkus elemanları normaldir.servikal intervertebral disk yükseklikleri ve intensiteleri normal olarak değerlendirilmiştir. servikal spinal kord intensitesi ve genişliği , kraniovertebral bileşke normaldir.servikal spinal kanal ön çapı ve nöral foramenler normaldir YORUM:C5-6 ve C6-7 santral protrüzyon,anterior epidural mesafedede silinme.",MR raporunda ciddi bir bozukluk yok. Şikayetiniz nedir ?,"Merhaba, Öncelikle geçmiş olsun! Bu raporda önemli olan; C5-6 ve C6-7 seviyelerindeki disklerde hafif derecede daralma var. Ancak bu durumda ameliyat gerekmez. Muayene bulgularınız ile birlikte değerlendirilmesi daha uygun olacaktır. İyi çalışmalar..."
