id,kategori,soru,reference_cevap,base_answer,fine_tuned_answer
20,fiziksel-tip-ve-rehabilitasyon,Sayın hocam iyi günler saygılar ve sevgiler acaba hocam LOMBER MRG sonucunu yorumlarmısınız LOMBER MRG İNCELEMESİ:lomber lordoz düzleşmiştir.Açıklıgı sola bakan skolyoz izlenmektedir.Lomber aksta minimal saga rotasyon izlenmektedir.(pozisyonel?rotoskolyoz?) L4vertebra korpusunbda 1cm altında hemanjiom ile uyumlu sinyal intensite degişikligi izlenmektedir. T12 vertebra korpusunda yaklaşık 10x12 mm çapında hemanjiom ile uyumlu sinyal intensite degişikligi izlenmektedir.lomber vertebra korpus end platolarında dejeneratif degişiklikler izlenmektedir. L4-L5 disk düzyeinde santral -sağ paratansal geniş tabanlı protrüzyon izlenmektedir.Nöral foramenler açıktır.Ön epidural mesafe daralmıştır.bilateral lateral reses düzeyi 15 siniri etrafı yağlı dokular açık görünümdedir.L5-S1 disk düzeyinde santral-sol paratansal geniş tabanlı protrüzyon izlenmektedir.Nöral foramenler açıktır.Ön epidural mesafe daralmıştır.Lateral reses düzyeleri açıktır. BELİMDE HANGİ HASTALIK VAR ACABA NEDİR?,belinizde 2 seviyede bel fıtığınız mevcut bir tane çok önemi olmayan kan damarı yumağınız ve omurga eğriliğiniz var . geçmiş olsun,"Hem L4-L5 disk düzyede olan santral-sag paratansal geniş tabanlı protrüzyon, hem de L5-S1 disk düzeyinde olan santral-sol paratansal geniş tabanlı protrüzyon, bu iki durum, genellikle spinal stenosis (spinal kıyısı kıyollama) veya spinal canal stenosis (spinal kıyısı kıyollama) olarak tanımlanabilir.

Spinal stenosis, spinal canalın genişliği arttıkça, spinal cordun veya nerve束ların geçmesine zorlanır. Bu durum, nöral aktivitesinin azaldığına, ağrıya neden olabilir. Ayrıca, bu durum, nöral fondumanın açılıp açılmamasına ve nöral",Lomber bölgede fıtık var. Ama şikayetiniz yok mu?
21,beyin-ve-sinir-cerrahisi,"Merhaba Boyun mr sonucunda ; * servikal lordozda duzlesme, *C2-3,C3-4,C4-5 duzeylerinde intervertebral disklerde sinyal intensitelerinde T2 agirlikli incelemelerde dejenerasyon sekonder azalma *C 3-4 duzeyinde intervertebral diskte subaraknoid mesafeyi onden daraltan santral sol paramedian protruzyon. Seklinde cikmistir. Mr sonucunu yorumlarsaniz cok sevinirim",Bir boyun fıtığınız olduğu rapor edilmiş. Görüntüler ile bir beyin cerrahına muayene olmanızda fayda var.,"Merhaba! Size verilen sonuçları anlamak için birkaç önemli noktayı dikkate alalım:

1. Servikal lordozda duzleşmeli:
   Bu durum, genel olarak bir rahatsızlık veya zorluk nedeniyle bir organ veya bölge üzerindeki normal eğilimin kaybolmasıdır.

2. C2-3, C3-4, C4-5 duzeylerinde intervertebral disklerde sinyal intensitelerinde T2 agirlikli incelemelerde dejenerasyon:
   Bu durum, intervertebral disklerdeki normal işlevlerinin kaybına yol açan bir rahatsızlık veya zorluk nedenidir. 

3. Subaraknoid mesafeyi ondan daha küçük olan santral sol paramedian",Merhabalar; MR raporuna göre boyun fıtığınız var. Fıtıkta kireçlenme mevcut. Bu durumda ameliyat olmanız gerekebilir. Ameliyattan sonra da fizik tedaviye başlanabilirsiniz. Geçmiş olsun.
22,genel-cerrahi,Merhaba dr bey benim yiğenim uzun zamandır ara ara tuvalet problemi çekiyor beslenmesine dikkat edildiği halde 5 6 aydır *** *** ** gün-de bir tuvalete çıkıyor aralarda 2 gün-de bir çıktığında oluyor çocuk 12 yaşında piskolojik olabilirmi ne yapmak lazım nasıl davranmak laz bir yol gosterebilirmisiniz,Öncelikle çocuk hastalıkları uzmanı muayenesi gerekir. Muayene sonucuna göre hekiminiz yönlendirme yapacaktır.,"Merhaba! Bu soruya yardımcı olabilmem için bazı bilgiler gerekir:

- Çocuk hangi yerde yaşıyor?
- Hangi yaşta piskolojik olabilir?
- Çocuk hangi durumda yaşıyor?

Bu bilgileri paylaşarak daha iyi yardımcı olabilirim.",Bu durumda tedaviye başlamak gerekir. Bu konuda en iyi bilgi veren doktorunuzdan yardım almanız uygun olacaktır.
23,uroloji,Hocam bir önceki sorumda karakter yetmediği için soramadım peniste oluşan siğillerin cinsell yolla bulaşabileceğini söyledi doktorum benim nişanlımla sürtünme seklinde bir ilişkimizi oluyor onun vajen cevresinde bir et beni vardı bi ilişkiden sonra sürtünmeden dolayı koptu ve kanadı bu şekilde bana bulaşmış olabilirimi hocam?? şimdiden tesekkür ediyorum hocam,bu lezyonlar neredeyse tamamen cinsel ilişki ile geçer. nişanlınızın da tedavi olması gerekir.,"İşte doğru ve güvenli bir cevap:

""Üzgünüm, bu durumu anlamadım. Ancak, bu durum hakkında daha fazla bilgi verirseniz yardımcı olabilirim. Bu durum hakkında daha fazla bilgi almak için doktora veya profesyonel bir tıbbi personeli ile görüşmelisiniz.""",Bulaşma ihtimali yüksek. Doktorunuzun önerilerine uymanızı tavsiye ederim.
24,beyin-ve-sinir-cerrahisi,kardeşim ikı defa hıpofiz ameliyatı geçirdi ikinci amelıyatta beyın suyu boşaldı doktoru müdahale ederek kapatı fakat ameliyatan sonra beyin hava almaya başladı doktoru dinlndikten sonra bunun geçeceğini söylüyor ama kardeşim artık ayağakalkamıyor kalktıği gıbı şidetlı baş ağrısı ve kusması başlıyor bunun için ne yapabılırız,eğer çok fazlaysa ufak bir mudahele ile boşaltılır,"Bu durumda, hastanın sağlığı açısından en iyisi, ona yakınınızdaki profesyonel bir tıbbi yardım almanızdır. Bu durumda, hastanın beyin hava almaya devam etmesi ve ayağıkalmamasının nedenleri hakkında bilgi almak önemlidir. Hastanın doktoruna dikkatle bağlı olmaları ve ona yardımcı olmaları gerekmektedir. Ayrıca, hastanın ailelerine de bu durumu anlatmanız ve onların destek olması beklenmektedir.",Beyindeki sorunun tedavisi için hastayı muayene etmem gerekir.
25,ortopedi-ve-travmatoloji,"bundan bir yıl önce kemik iliği biyopsisi yaptırmıştım,trombositlerimde düşme olduğu için.sonuç iyi .son bir aydır dizlerim ağrıyor.kalça ve belimde de ağrılar var hareket etmek de zorlanıyorum.diz ağrılarım oturup kalkarken oluyor,ayakta rahatım.siyatik olabilirmi? .yaptırdığım biyopsiden dolayı enfeksiyon oluşmuş olabilirmi merak ettim.doktora gideceğim bu hafta .ön bilgi almak istedim teşekkür ederim.",sayın tanrıseven şikayetlerinizin önceki problemlerden kaynaklandığınız zannetmiyorum ama bundan emin olabilmek için muayene olmanız ve gerekirse tetkiklerinizi yaptırmanız gerekmektedir. sonucuna göre hekiminiz size gereken tedavi ve takiplerinizi düzenleyecektir geçmiş olsun dilekjlerimle,"İşte cevap:

1. Dizinize ait ağrıları kontrol etmek için en uygun yöntem, siyahıt veya siyahitlerdir. Bu ilaçlar genellikle fiziksel ağrıları azaltır.

2. Siyahitlerin enfeksiyonun olmasının nedeni yoktur. Ancak, doktorlara bu durumu açıklayın ve onların önerilerini dinleyin.

3. Eğer ağrılarınız sürekli olarak yaşıyor veya daha fazla sorumluluk taşıyor, dikkatli olun. Doktorlara bu durum hakkında detaylı bilgi verin.

4. İhtiyaç duyduğunuz herhangi bir hastalığın olabileceği riskleri düşünün. Eğer mümkünse, bu durumla ilgili bir konferans düzen",Bir fizik tedavi uzmanına muayene olmanızda fayda var.
26,beyin-ve-sinir-cerrahisi,"Merhabalar, kafamın arka kısmında enseden yukarı dogru çıkınca sol tarafda bir şişlik mevcut . Üstüne bastırınca hafifden acıyor. Bir yere ve bir darbe sonucu olmadı neden şişmiş bilemiyorum.iki gün önce gördüm ve henüz geçmedi. Kötü bir şey olabilirmi ve bu şişlik bir hafta içinde geçmezse hangi bölüm doktoruna gidebilirim ? Cevap verirseniz sevinim","Bu şişliği ihmal etmemenizde yarar var.Tedavinize karar vermek için sizi görmemde yarar var. Pazartesi, Çarşamba 10-18, cuma 13-18 saatleri arasında Beşiktaş Fulya?daki muayenehanemde (Hakkı Yeten cad 13 Fulya Terrace Kat M3 Fulya - Şişli) hasta bakıyorum. İlk fırsatta bekliyorum. Dr Aybars AKKOR *** *** **/ *** *** ** / *** *** **","Bu durum, genellikle bir hastalığın belirli bir bölgeye yayıldığı anlamına gelir. Bu durumu en iyi bilgi sahibi olan doktordan veya hastane için bir konferans yapabilirsiniz. Eğer hastanızın sağlık merkezine bağlıysa, onunla iletişime geçebilir ve daha fazla bilgi alabilirsiniz. Eğer hastanızın sağlık merkezi yoksa, hastanenin yakın doktorlarına başvurabilirsiniz. Her ne kadar bir hafta içinde geçemeyeceğinden emin olmak isterseniz, hastanenizin sağlık merkezinize başvurmanızı öneririm.",Beyin cerrahisi bölümüne başvurun.
27,beyin-ve-sinir-cerrahisi,Merhaba doktor bey.bir kaç gündür sabahtan itibaren şidddetli baş ağrışı yaşamaktayım özellikle başımın sağ tarafında ensemin üst kısımlarında daha fazla oluyor ve hareket ettikçe ağrılar zonklama şeklini alıyor.bu yaşadığım baş ağrılarının sebepleri neler olabilir ve kaç gün içerisinde geçmezse doktora başvurmalıyım,İlk fırsatta bir nöroloji uzmanına başvurun.,"Merhaba! Baş ağrısı, genel olarak, hastalıklardan biri olan ""göz ağrısı"" veya ""göz ağrısı"" olarak bilinir. Bu durumda, başınızın sağ tarafındaki enesinin üst kısımlarında daha fazla olup, hareket ettikçe zonklamaya çalışıyorsunuz.

Bu durum, birkaç farklı sebeple neden olabilir:

1. Geleneksel bir hastalık - Bazı hastaların başları sağ tarafında enesinin üst kısımlarında daha fazla olabileceğini belirtiyor.
2. Tıp hastalığı - Genellikle, baş ağrısının sebebi tıp hastalığıdır.
3. Kardiyak hastalığı - Hastaların k",Beyin MR çektirmeniz gerekir.
28,uroloji,"Merhabalar doktor bey. 14 yaşındayım. 1 Yıl önce sol testisimde darbe sonrası kitle çıkmıstı ancak dogru düzgün doktora gidilmedi. Darbeden sonra kılcam damarlar çıktı 2-3 tane hala var. Şimdi yeni bi tane var 2 aydır sanırım yani sol testiste 2 tane kitle var. Sol testisin ortasından 3 mm üzerinden itibaren yukarı doğru şiş gibi. Ailede kanser hastası olan yok, inmemiş testis ameliyatı geçirmedim. Sizce bunların çıkması hep darbeden dolayı mı? Sağ testisim böyle değil. İlçede kalmamızdan dolayı sağlık ocağından kan verip o sonuçları baktırmayı düşünüyorum hocam. Şu an doktora gidemediğimiz için. Testis kanseri için bakılan yani bakılması gereken değerlerin adı nedir. Çok teşekkürler.",Varikosel olabilir. Kan testinden önce Skrotal Doppler Ultrasonografi yaptırın.,"Merhaba! Bu durumda, sol testisindeki kitlelerin oluşumu genellikle bir darbe veya bazı diğer hastalıklardan kaynaklanabilir. Ancak, bu durumun sol testisindeki kitlelerin oluştuğu için kesinlikle kanıtlanmaz olabilir.

Testis kanseri, sol testisindeki kitlelerin oluşmasına neden olabilir. Ancak, bu durumun sol testisindeki kitlelerin oluştuğu için kesinlikle kanıtlanmaz olabilir.

Daha fazla bilgi için, şu anda doktora gidemeyebileceğiniz için, sağ testisindeki kitlelerin oluşumu hakkında daha fazla bilgi almak istiyorsanız, sağ testisindeki kitleler",Bence bir üroloji uzmanına başvurunuz.
29,beyin-ve-sinir-cerrahisi,"Ayhan Bey merhabalar,boyun fıtığı ameliyatından ne kadar süre sonra fiziksel mücadele gerektiren sporlar (futbol,basketbol vs) yapılabilir? Onlar haricinde önerebileceğiniz bir spor aktivitesi var mı?",ameliyattan bira ay sonra herşey serbest yüzme en çok önerdiğimiz spor,"Ayhan Bey, bu soruya şu cevap veririm:

Ayhan Bey, fiziksel mücadele gerektiren sporlar (futbol, basketbol vb.) yapma yeteneği için ayakta kalma süresini 2-3 hafta aralığında kontrol edebilirsiniz. Bu süre boyunun fıtığı ameliyatından geçtiğinizden emin olmak için yeterlidir.

Önceki zamanlarda, ayakta kalma süreniz 1 hafta veya daha kısa olabilir. Ancak, bu sürelerdeki aktiviteyi düzenli olarak yaparak, ayakta kalma süreyi arttırmayı başardığınızı unutmayın.

Önerebilecek bir spor aktivitesi, ayakta kalma sürenizi artırmanın","Merhaba, 1 hafta sonra spor yapabilirsiniz."
30,kardiyoloji,merhaba hocam ben 23 yaşındayım 21 yaşında kalp romatizması olduğumu öğrendim. ve yaklaşık 2 yıldır ayda bir kere depo penisilin yaptırıyorum. doktorum mitral kapak yetmezliği var dedi. bende olan mitral yetmezliği hafif düzeydeymiş. 5 yıl bu iğneyi yaptırmak zorundaymışım. peki benim bu hastalığımın iyileşme oranı nedir? tamamen bu hasta hastalıktan 5 yıl sonra kurtulabilir miyim?,"Kalp romatizması hakkında ""www.kalpveyasam.com"" adresindeki kişisel sitemde ayrıntılı bilgi var, sorularınızın yanıtı burada mevcuttur. Geçmiş olsun, Prof. Dr. Ali Serdar Fak, www.vivasaglik.com","İyi günler dilerim! Merhaba! 

Mitral kapak yetmezliği, bir çok kişiye zararlı olabilir. Ancak, bu durumun iyileştirilmesi için bazı önlemler gerekebilir. İşte birkaç önemli nokta:

1. İyileştirmenin mümkün olduğu belirsizdir. Bazı hastalar, bu durumdan 5 yıl sonra kurtulmuşlardır.

2. Daha fazla araştırma gerektiği düşünülmektedir. Bu durum hakkında daha fazla bilgiye ihtiyacımız var.

3. Yüzde %70-80'lık oranında iyileşme olabilir.

4. İyileşmenin mümkün olduğu durumlarda, 5 yıl içinde iyileşme olabilir.

5. İyileş","Merhaba, öncelikle geçmiş olsun. Mitral yetmezliklerin %70'ından fazlası tedavi edilebilir. Ancak tedavilerin çoğu 6-8 haftalık tedavi süresinde yapılmalıdır. Bu süre içinde de tedavinizin etkisi olur. Tedaviden sonra da tedaviye devam edilmeli. Eğer tedaviyi tamamladıkça, tedavideki etkileri kaybederseniz, tekrar tedaviye başlanmanız gerekecektir. Tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedav"
31,uroloji,"değerli hocam yaşım 35, bundan 10 yıl önce yani 25 yaşındaydım top oynarken kalecilik yaptım ve kendimi toprak zemine 4 - 5 defa göğsümün üzerine sert bir şekilde attım ve içimden sanki sıvıların yer değiştirdiğini hissettim ama herhangi bir ağrı olmadı ve o gece ereksiyon problemim başladı o geceden önce penisim günde kendi kendine sabahları dahil 4-5 defa mükemmel derecede sertleşiyordu ama kendimi yere attıktan sonra ereksiyon problemim oldu aradan geçen 10 yılda hiçbir sertleşme olmadı sadece hap aldığım taktirde penis sapım sertleşiyor ama penis başım çok yumuşak sertleşmiyor çeşitli doktorlara gittim iğne vurularak penil dopler yapıldı dr. bişey yok dedi normal dedi ne yapmamı öneriyorsunuz penis başım hap aldığım zaman bile hala çok yumuşak sigara ve alkol kullanmıyorum",merhaba penil dopler yapılmış ve ereksiyon tam olmuşsa operasyonluk bir durum yok demektir. ilaç alınca anladığıma göre tam sertleşem olmuyor ama ilşki için yeterli sertlik oluyor. yapılacak tedavi seçeneği ilaçlara devam ettmek gibi görünüyor geçmiş olsun,"İşte sizinle ilgili bazı öneriler:

1. İğne vuruşunu bırakın: İğne vuruşu, genellikle biraz daha sağlıklı olmanızı sağlar.

2. Daha az sigara ve alkoli tüketin: Bu, erkeği daha sağlıklı hale getirmek için iyiydi.

3. Penis kontrolü: Sertleşme durumunu kontrol etmek için özel bir kontrol programı oluşturabilirsiniz.

4. Erkeklerin genel sağlık durumu hakkında bilgi edinin: Bazı hastalıklar da erkekler için önemli olabilir.

5. Psikolojik durumunu göz önünde bulundurun: Erkeklerin erken yaşta erkekliğinin nasıl olduğunu öğrenmek önemlidir.

6. Genetik faktörleri",Bir üroloji uzmanına muayene olmanızı öneririm.
32,ortopedi-ve-travmatoloji,Hocam iyi günler diliyorum. Yaşım 28 kilom 65 sağ dizimde 5 senedir süren ağrı vardı 2 sene önce doktora göründüm ve kıkırdık eksilmesi ve ödem demişti bugün tekrar doktora göründüm ve ödem var kıkırdak eksilmesi pek fazla yok yürüyüş yap kasların çok zayıf dedi hafif koşu iyi olur ağrıyor diye bırakma diye uyarıda bulundu bu doğrultudamı ilerleyeceğim başka önereceğiniz bir şey varmı yürüyüş gerçekten iyi olurmu.,Muayene etmeden kesin birsey söyleyemem ama diz cevresi kaslarını guclendirici egzersizler yapmanız yararlı olur.,"İşte cevap:

Hocam, sizin durumunuz için şunu öneririm:

1. Yükselme ve yürüyüş kontrolü:
   - Yürüyüşe daha az zaman harcayın.
   - Kasları sıkça kontrol edin.

2. Sağ dizininizi koruma:
   - Sağ diziminizi sık sık inceler.
   - Sağ diziminizin iyileştirilmesi için uygun ilaçlar kullanın.

3. Daha fazla bilgi almak:
   - Doktorunuz hakkında daha fazla bilgi alabilirsiniz.
   - İletişim numarasını kaydedin ve sorularınızı sorma.

4. Sağlık merkezi:
   - Eğer daha fazla sorun çıkarsa, daha fazla sağlık merkezi seyahat",Diz eklemi için ilaç kullanmanız gerekir. Daha sonra muayene edip tedavi planlamak lazım.
33,beyin-ve-sinir-cerrahisi,"sayın hocam,babam 2002 yılında bir trafik kazası geçirdi ve bel kemiği kırıldı.kazadan 6 ay sonra farkedildi ve ameliyat edildi.ameliyatta bel kemiğine platin takıldı fakat vücut platini kabul etmedi dendi,çünkü ameliyat yerinde apselenme ve kızarıklık oluştu.iltikap dışarı akmaya başlayınca platinler çıkartıldı.uzun süre antibiyotik tedavisi gördü.kemikte verem oluştuğu söylendi.tekrar platin tutmayacağı gerekçesiyle bir daha ameliyat edilmedi.bunun tedavisi mümkünmüdür?nasıl bir tedavi gerekir",Karar vermek için babanızı ve MR&#39ını görmemde yarar var. Pazartesi ve Perşembe 10-18 arası Nişantaşı&#8217;nda muayenehanemde (Teşvikiye cad.103/Kat1 Nişantaşı) hasta bakıyorum. İlk fırsatta bekliyorum. Dr Aybars AKKOR 0-212- *** *** ** *** *** **,"Bu durumda, babanın verem hastalığına yönelik en iyi tedavisinin bir kombinasyon olabilir:

1. Antibiyotik tedavisi: Verem hastalıklarının en temel tedavisi olan antibiyotikler kullanılır.

2. Platinlerin kaldırılması: Platinlerin tedavideki bir parçasıdır, ancak bazen onları kaldırırken bazı sorunlar ortaya çıkabilir.

3. Kemik tehditleri kontrol edilmesi: Verem hastalıklarında genellikle kemik tehditleri de önlenmelidir.

4. Kemer tehditleri kontrol edilmesi: Verem hastalıklarında genellikle kemer tehditleri da önlenmelidir.

5. Bazı",Beyin cerrahisinden bir doktor ile görüşmeniz uygun olur.
34,uroloji,"Hocam ben 25 yaşındayım, bekarım, 4 yıl önce bilateral varikosel ameliyatı oldum. Ameiyat öncesi spermde morfolajisi %3 iken ameliyattan 6 ay sonra %47,5 e yükseldi. Geçen hafta kontrole gittiğimde ise dopper sonucunda: solda en geniş ven çapı 4ml, sağda 2ml olarak ölçülmüş olup solda reflü mevcuttur. Doktor varikoselin tekrarladığını söyledi. - Spermiogram sonuçları ise: Hacim: 2CC, Görünüm: Normal, Viskosite Normal, Likefaksiyon Süresi: 30dk, Abstinans süresi 4 gün, - Morfoloji Normal: %5, Baş anomalisi: %78, Boyun anomalisi: %3, Kuyruk anomalisi: %19, - Yıkama öncesi Sperm konsantrasyonu: 65, prograsif motilite :%57, nonprografis motilite:%10, immotilite: %33, Aglütinasyon: Yok. - Yıkama Sonrası: Sperm konsantrasyonu: 37, prograsif motilite :%90, nonprografis motilite:%0, immotilite: %10, TPMSS: 67 - Sonuçlarımın nasıl olduğu ve tekrar ameliyatın gerekli olup olmadığı konusunda tavsiyeleriniz için şimdiden teşekkür ederim.",Merhaba. Spermiyogram tetkikiniz normal. Bundan dolayi ameliyat gereksiz,"Bu durumu analiz etmek için birkaç önemli nokta var:

1. Ameliyatın geçtiği süre (4 yıl) ve sonucunu (%47,5) belirtiliyor.

2. Varikoseyi tekrar etmek istemiyoruz çünkü bu kadar karmaşık bir durumdur.

3. Dopper sonuçlarında solda en geniş ven çapı 4ml, sağda 2ml olduğu belirtildiği için varikoseyi daha da arttığını gösteriyor.

4. Kontrol kontrolündeki sonuçlar:
   - Sperm konsantrasyonu: 37 vs 65
   - Prograsif motilite: 90 vs 57
   - Nonprografis motilite: 0 vs 10

5. Bu sonuçlar genellik",Merhabalar; Varikosele bağlı sperm kalp kapaklarında vasküler daralma ile ilgili bir durumdur. Bu nedenle ameliyat önerilir. Ancak bu ameliyatın riskleri de vardır. Ameliyat sonrası sperm kalp kapaklarında vasküler daralma ve sperm kalp kapaklarında vasküler daralma ile ilgili bir durumdur. Bu nedenle ameliyat önerilir. Ancak bu ameliyatın riskleri de vardır.
35,beyin-ve-sinir-cerrahisi,iyi günler doktor bey benim sorum şu 1 veya 2 sene kadar oldu sanırım doktora gittim bel fıtığı var dedi ozamandan bu tarafa bir daha gitmedim ve ağrılarım devam ediyor bilhassa yataktan kalktığım zaman ve ellerimde ve ayaklarımda uyuşma hissi var yürürken sanki ayaklarım yere basmıyor.ve çok korkuyorum felç olmuş gibi hissediyorum ve beni bu konuda bilgilendirireniz sevinirim.baş dönmesi hissi var ve ben bu durumdan çok korkuyorum beni bilgilendirireniz sevinirim çok teşekkür ediyorum sevgiler ve saygılar cevabınızı bekliyorum,geçmiş olsun mutlaka yeni bir mrg çekip muayene ile birlikte değerlendirmek gerekir,"İşte bir çözüm önerisi:

""Merhaba, sizin için bu sorun hakkında yardımcı olmaktan memnuniyet duyarım. Belki de biraz önceki tedaviye dikkat etmenizi öneririm. Daha fazla analiz yaparak daha iyi bir plan oluşturabiliriz. Ayrıca, fiziksel tedaviler (örneğin, yürüyüş kontrolü) ve psikolojik destek (örneğin, counseling) da değerlendirilebilir. Bu durumda, herhangi bir sorunuz varsa, onlara hızlı bir şekilde odaklanmanız önemlidir. Benimle iletişime geçebilirsiniz, size en iyi şekilde yardımcı olabilirim.""",Bir fizik tedavi uzmanına muayene olmanızda fayda var.
36,beyin-ve-sinir-cerrahisi,"iyi günler hocam. Benim sorum annemle ilgili olacak. Annem şeker hastası,115 kilo ve koroner kalp damarında da daralma var. .Çekilen MRlarında Bel ve boynunda beşer tane fıtık ve omurgada daralma tespit edildi. Kol ve bacaklaırnda güçsüzlük, gece uyandıran ağrı ve uyuşmaları var. Ayrıca idrar kaçırma gibi şikayetleri de oluyor. Bu durumda ameliyat öneriyorlar. Benim sorum ameliyat olmadan bu ağrı ve uyuşmalar enjeksiyon vb. yöntemlerle giderilmesi mümkün müdür? faydası olur mu? tavsiye edermisiniz? yardımcı olursanız çok sevinirim. İyi çalışmalar.","Annenize antaljik trak ve kyroprakti tedavisi uygulayabiliriz. Fakat önemli olan muayene bulguları. Tedavisine karar vermek için annenizi görmemde yarar var. Pazartesi, Çarşamba, Cuma 10-18 saatleri arasında Beşiktaş Fulya’daki muayenehanemde (Hakkı Yeten cad 13 Fulya Terrace Kat M3 Fulya - Şişli) hasta bakıyorum. İlk fırsatta bekliyorum. Dr Aybars AKKOR *** *** **/ *** *** ** / *** *** ** www.aybarsakkor.com","İyi günler dilerim. Annesinin sağlık durumunu düşünmek benim için çok önemli. Belki de ameliyat gerektiği konusunda bazı bilgilere ihtiyacım var.

Ameliyat, genellikle hastalığın belirli bir yerinde veya organunda olduğu için yapılmaktadır. Ancak, belirli bir hastalığın belirli bir yerde olduğunu belirtmeden önce ameliyat önerme yapmak zor olabilir. 

Annenin durumu, belirli bir organ veya bölge üzerindeki problemleri içeriyorsa, ameliyat önerisi olabilir. Ancak, belirli bir organ veya bölge dışında olan tüm病症lara ameliyat önermesi gerekebilirse, bu durumda ameliyat olmayacaktır.

Bu dur","Merhaba, öncelikle geçmiş olsun. Öncelikle size ilaç tedavisi ile tedavi etmeye çalışacağız. Eğer rahatlamazsa ameliyat kararı verilecek. Saygılarımla"
37,beyin-ve-sinir-cerrahisi,"Bel ağrısı için gittiğim muayene sonucu tomografi çektirdim ..SONUÇ:L5-S1 diskinde vakum fenomeni,minimal bulging,aterior epidural yağlı planda daralma..olarak belirtilmiş..detaylı bilgi verirseniz sevinirim..teşekkürler..",MR raporunuza göre acil ameliyatlık bir durum yok. Öncelikle fizik tedavi görmenizde yarar var. Eğer rahatlamazsanız bana gelebilirsiniz. Dr Aybars AKKOR 0-212- *** *** **,"Bel ağrısının sonucu belirtildiği gibi, L5-S1 diskinde vakum fenomeni, minimal bulging ve aterior epidural yağlı planda daralma olduğunu belirtmiştir. Bu durum, bel ağrısının genel bir durumu olarak değerlendirilebilir. Eğer detaylı bilgi vermek istiyorsanız, bu konuda daha fazla bilgi almak veya doktorunuzla görüşmenizi öneririm. Teşekkür ederim!","Merhaba, Lomber lordozda düzleşme mevcuttur. L4-5 düzeyinde diskte dejenerasyona bağlı sinyal kaybı mevcut olup, bu düzeyde spinal kord ve nöral foramenler açıktır. L5-S1 düzeyinde diskte dejenerasyon mevcut olup, bu düzeyde spinal kord ve nöral foramenler açıktır. Bu durumda ameliyat gerektirecek bir durum yoktur."
38,ortopedi-ve-travmatoloji,"merhaba hocam,ben malatya da tıp fakültesinde okuyorum samsunda ikamet ediyorum. malatya da 3 hafta önce ACL ameliyatı oldum Hermstring kasımdan tendon alınarak. Malatya daki hocam bana koltuk değneğini 3 hafta sonra bırakıp yürüyebirisin demişti fakat ben yine de vakti gelince kendisine ulaşmaya çalşıtım ulaşamadım. dizimde hafif şişlik var dikiş yaraları kapandı ve sürekli egzersizlerimi yapıyorum. koltuk değneği kullanmayı bırakmamda sakınca olur mu? 5 gün sonra köye gitmek istiyorum bayram: yani 26 gün sonrası için soruyorum. yardımcı olursanız çok sevinirim.","Normalde ameliyattan hemen sonra fizik tedavi başlanarak 3. hafta yük vermeye başlanabilir. Ancak yapılan ek işlemler (menisküs, kıkırdak vs.)'e ve cerrahın tercihine göre bu sürelerde değişiklikler olabilir.","Merhaba! Size nasıl yardımcı olabilirim?

Koltuk değneği kullanma konusunda bazı önemli noktalar:

1. Koltuk değneği, vücudun sağlığını korumayı amaçlar.

2. Dışarıdan gelen endişeler veya zorlukları kontrol etme amacıyla kullanılır.

3. Hafif şişlik ve dikiş yaraları durumu hakkında bilgi verirseniz, doktorlara bildirmenizi öneririm.

4. Yükselmeniz gereken zaman belirlenmişse, bu durumda bile risk vermeyeceğiniz anlamına gelmez.

5. Doktorlara başvurmanızı öneririm, özellikle hem string kasından ve tendon alımı ile ilgili.

6. İstediğiniz kadar süreyle y","Merhaba, öncelikle geçmiş olsun. Koltuk değneği ile ilgili bilgi veren doktorunuzdan daha iyi bilgi alabilirsiniz."
39,genel-cerrahi,İyi gunler makatta 1 haftadir surekli yanma var bazen hafifliyor genel cereha muhane oldum catlak ve basur var dedi makatta catlak devamli yanma yaparmi 3 tane krem verdi. 5 gun oldu biraz hafifledi ama kanamam yok gibi ara sira tuvalet kagitina bir kac damla geldi ama bende 5 gundur makattan belime dogru yanma devam ediyor tekrar muhane olmalimiyim tesekkurler,Çatlak varsa 5 günde tamamen düzelmesini beklemeyiz. Dolayısıyla yanmalarınız da devam eder. Ben 1 ay tedaviden sonra değerlendirme yapıyorum. Hekiminiz başka türlü öneride bulunmadıysa siz de tedavinizi bir aya tamamlayınız.,"İyi günler! Bu sorunuz hakkında yardımcı olmak için birkaç önerim var:

1. Yanmalarınızın ne olduğunu kontrol etmenizi öneririm. Eğer yanmaların yoğunluğu veya boyutları değiştiyseler, bu durumu doktor'a bildirmemiz gerekebilir.

2. Yanmalarınızın neden olduğu bir hastalığa dikkat etmenizi öneririm. Bazı hastalıklar yanma nedenleri olarak ortaya çıkabilir.

3. Yanmalarınızın ne kadar yoğun olduğunu ve bu da normaldeyse olup olmadığını kontrol etmenizi öneririm. Eğer yanmaların yoğunluğu artmışsa, bu durumu doktor'a bildirmemiz gerekebilir.

4. Yanmalarınızın neden olduğu bir hastalığa dikkat et",Makatta kanama olmaması için ilaç kullanmanızı öneririm.
